"pelicula_id","pelicula_titulo","attachment_id","imagen_url","nombre_archivo"
"9082","Lasaña de mono","166381","https://cinenacional.com/wp-content/uploads/2022/11/0000052468-1.jpg","0000052468-1.jpg"
"9087","Necronomicón, el libro del infierno","166369","https://cinenacional.com/wp-content/uploads/2022/11/0000052480-1.jpg","0000052480-1.jpg"
"9120","Pensando en él","166303","https://cinenacional.com/wp-content/uploads/2022/11/0000052549-1.jpg","0000052549-1.jpg"
"9510","Nosotras también estuvimos","165173","https://cinenacional.com/wp-content/uploads/2022/11/0000065391-1.jpg","0000065391-1.jpg"
"9513","El chicle","164999","https://cinenacional.com/wp-content/uploads/2022/11/0000067159-1.jpg","0000067159-1.jpg"
"9519","Huracán Berta","164921","https://cinenacional.com/wp-content/uploads/2022/11/0000067498-1.jpg","0000067498-1.jpg"
"9866","La visitante","165639","https://cinenacional.com/wp-content/uploads/2022/11/0000058312-1.jpg","0000058312-1.jpg"
"10218","Moacir III","165339","https://cinenacional.com/wp-content/uploads/2022/11/0000063275-1.jpg","0000063275-1.jpg"
"10411","Las paredes se pintan con agua","164981","https://cinenacional.com/wp-content/uploads/2022/11/0000067186-1.jpg","0000067186-1.jpg"
"10442","Muerte, no seas mujer","165129","https://cinenacional.com/wp-content/uploads/2022/11/0000066145-1.jpg","0000066145-1.jpg"
"10483","Tango en París, recuerdos de Astor Piazzolla","165033","https://cinenacional.com/wp-content/uploads/2022/11/0000066901-1.jpg","0000066901-1.jpg"
"159760","Déjame con amor","173093","https://cinenacional.com/wp-content/uploads/2022/11/0000006696-3.jpg","0000006696-3.jpg"
"159800","Que me toquen las golondrinas","172629","https://cinenacional.com/wp-content/uploads/2022/11/0000011640-3.jpg","0000011640-3.jpg"
"159803","Aurora de libertad","172613","https://cinenacional.com/wp-content/uploads/2022/11/0000011761-3.jpg","0000011761-3.jpg"
"159845","Crónica negra","172269","https://cinenacional.com/wp-content/uploads/2022/11/0000013586-3.jpg","0000013586-3.jpg"
"159856","La vida de Juan Moreira, en colores, con sonido y todo. A pedido del cariñoso público.","172685","https://cinenacional.com/wp-content/uploads/2022/11/0000011374-3.jpg","0000011374-3.jpg"
"160021","Dagli Apennini alle Ande","171145","https://cinenacional.com/wp-content/uploads/2022/11/0000018979-3.jpg","0000018979-3.jpg"
"160082","Géminis","170379","https://cinenacional.com/wp-content/uploads/2022/11/0000029226-3.jpg","0000029226-3.jpg"
"160084","Aguas argentinas","170373","https://cinenacional.com/wp-content/uploads/2022/11/0000029262-3.jpg","0000029262-3.jpg"
"160160","Parte de la familia","169683","https://cinenacional.com/wp-content/uploads/2022/11/0000035461-3.jpg","0000035461-3.jpg"
"160314","1982","165769","https://cinenacional.com/wp-content/uploads/2022/11/0000057044-1.jpg","0000057044-1.jpg"
"160336","Akelarre","165433","https://cinenacional.com/wp-content/uploads/2022/11/0000061727-1.jpg","0000061727-1.jpg"
"160349","Amalia","173251","https://cinenacional.com/wp-content/uploads/2022/11/0000003346-1.jpg","0000003346-1.jpg"
"160367","Asfixia","169593","https://cinenacional.com/wp-content/uploads/2022/11/0000036291-1.jpg","0000036291-1.jpg"
"160369","Así es la vida","173155","https://cinenacional.com/wp-content/uploads/2022/11/0000005676-1.jpg","0000005676-1.jpg"
"160382","Barcos de papel","173087","https://cinenacional.com/wp-content/uploads/2022/11/0000006715-1.jpg","0000006715-1.jpg"
"160401","Canción de cuna","172975","https://cinenacional.com/wp-content/uploads/2022/11/0000008577-1.jpg","0000008577-1.jpg"
"160405","Cartas","169611","https://cinenacional.com/wp-content/uploads/2022/11/0000036103-1.jpg","0000036103-1.jpg"
"160407","Cartas de amor","172937","https://cinenacional.com/wp-content/uploads/2022/11/0000008753-1.jpg","0000008753-1.jpg"
"160413","Celos","172907","https://cinenacional.com/wp-content/uploads/2022/11/0000009200-1.jpg","0000009200-1.jpg"
"160418","Chaco","166099","https://cinenacional.com/wp-content/uploads/2022/11/0000054329-1.jpg","0000054329-1.jpg"
"160419","Chaco","166207","https://cinenacional.com/wp-content/uploads/2022/11/0000053074-1.jpg","0000053074-1.jpg"
"160431","Claudia","168671","https://cinenacional.com/wp-content/uploads/2022/11/0000040473-1.jpg","0000040473-1.jpg"
"160442","Convivencia","172777","https://cinenacional.com/wp-content/uploads/2022/11/0000010545-1.jpg","0000010545-1.jpg"
"160454","De la noche a la mañana","165163","https://cinenacional.com/wp-content/uploads/2022/11/0000065742-1.jpg","0000065742-1.jpg"
"160467","Desmadre","168635","https://cinenacional.com/wp-content/uploads/2022/11/0000040709-1.jpg","0000040709-1.jpg"
"160480","Dolores","166899","https://cinenacional.com/wp-content/uploads/2022/11/0000050191-1.jpg","0000050191-1.jpg"
"160486","Dos hermanos","168995","https://cinenacional.com/wp-content/uploads/2022/11/0000039233-1.jpg","0000039233-1.jpg"
"160491","Educación rural","165489","https://cinenacional.com/wp-content/uploads/2022/11/0000060725-1.jpg","0000060725-1.jpg"
"160496","El árbol","169599","https://cinenacional.com/wp-content/uploads/2022/11/0000036209-1.jpg","0000036209-1.jpg"
"160504","El bosque","168759","https://cinenacional.com/wp-content/uploads/2022/11/0000039994-1.jpg","0000039994-1.jpg"
"160507","El candidato","172967","https://cinenacional.com/wp-content/uploads/2022/11/0000008591-1.jpg","0000008591-1.jpg"
"160520","El desvío","171013","https://cinenacional.com/wp-content/uploads/2022/11/0000021845-1.jpg","0000021845-1.jpg"
"160543","El Impenetrable","168205","https://cinenacional.com/wp-content/uploads/2022/11/0000043235-1.jpg","0000043235-1.jpg"
"160549","El jugador","172177","https://cinenacional.com/wp-content/uploads/2022/11/0000013889-1.jpg","0000013889-1.jpg"
"160561","El nexo","169951","https://cinenacional.com/wp-content/uploads/2022/11/0000033507-1.jpg","0000033507-1.jpg"
"160565","El otro","170041","https://cinenacional.com/wp-content/uploads/2022/11/0000032790-1.jpg","0000032790-1.jpg"
"160569","El pasante","169643","https://cinenacional.com/wp-content/uploads/2022/11/0000035899-1.jpg","0000035899-1.jpg"
"160591","El sereno","169811","https://cinenacional.com/wp-content/uploads/2022/11/0000034484-1.jpg","0000034484-1.jpg"
"160598","El visitante","170963","https://cinenacional.com/wp-content/uploads/2022/11/0000022697-1.jpg","0000022697-1.jpg"
