persona_id,persona_nombre,imagen_url,post_status,thumbnail_id,mime_type
153771,"Eduardo Bergara Leumann","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009444.jpg",publish,153772,"image/jpeg"
153773,"Aníbal E. Uset","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009441.jpg",publish,153774,"image/jpeg"
153781,"Alejandra Da Passano","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009436.jpg",publish,153782,"image/jpeg"
153783,"Julio López","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009433.jpg",publish,153784,"image/jpeg"
153785,"Tina Serrano","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009430.jpg",publish,153786,"image/jpeg"
153788,"Julián Plaza","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009425.jpg",publish,153789,"image/jpeg"
153807,"Ginette Acevedo","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000065081.jpg",publish,153808,"image/jpeg"
153811,"Erika Wallner","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009416.jpg",publish,153812,"image/jpeg"
153817,"Alicia Aller","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009408.jpg",publish,153818,"image/jpeg"
153820,"Ringo Bonavena","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009405.jpg",publish,153821,"image/jpeg"
153822,"Alicia Bruzzo","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009402.jpg",publish,153823,"image/jpeg"
153824,"Guy de Maupassant","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000009397.jpg",publish,153825,"image/jpeg"
