movie_id,movie_title,movie_year,person_id,person_first_name,person_last_name,death_year,years_difference,work_type
1603,"La pródiga",1984,154319,"Pedro Antonio","de Alarcón",1891,93,crew
2095,"Amor de otoño",1996,143659,"Antón","Chéjov",1904,92,crew
68,"Alejandra",2013,158039,"Georges","Feydeau",1921,92,crew
357,"La casa del recuerdo",1940,154103,"Frédéric","Chopin",1849,91,crew
523,"Dama de compañía",1940,154103,"Frédéric","Chopin",1849,91,crew
6671,"La muestra",2010,121115,"Ruggero","Leoncavallo",1919,91,crew
1023,"Hormiga negra",1979,149176,"Eduardo","Gutiérrez",1889,90,crew
2133,"Buenos Aires viceversa",1997,143259,"Nikolai","Rimsky-Korsakov",1908,89,crew
1887,"Últimas imágenes del naufragio",1990,149465,"Giuseppe","Verdi",1901,89,crew
2086,"La vuelta de Martín Fierro",1974,149762,"José","Hernández",1886,88,crew
756,"El Fausto criollo",2011,150799,"Julián","Aguirre",1924,87,crew
1988,"Viaje al infinito",1956,152728,"Louis","Héctor Berlioz",1869,87,crew
9314,"El escuerzo",2024,149581,"Leopoldo","Lugones",1938,86,crew
233,"Blancanieves y el Príncipe Azul",1945,155487,"Wilhelm","Carl Grimm",1859,86,crew
10498,"Buscando a Vassa",2021,158106,"Máximo","Gorki",1936,85,crew
894,"Los hermanos corsos",1955,153161,"Alejandro","Dumas (p)",1870,85,crew
9635,"Gardeliana",2020,155245,"Carlos","Gardel",1935,85,crew
10500,"Muy bodas de sangre, un biodrama trágico",2021,155441,"Federico","García Lorca",1936,85,crew
159856,"La vida de Juan Moreira, en colores, con sonido y todo. A pedido del cariñoso público.",1973,149176,"Eduardo","Gutiérrez",1889,84,crew
523,"Dama de compañía",1940,152463,"Robert","Schumann",1856,84,crew
451,"El conde de Montecristo",1953,153161,"Alejandro","Dumas (p)",1870,83,crew
9356,"Bailar la sangre",2019,155441,"Federico","García Lorca",1936,83,crew
160913,"Martín Fierro",1968,149762,"José","Hernández",1886,82,crew
233,"Blancanieves y el Príncipe Azul",1945,155488,"Jacob Ludwig","Carl Grimm",1863,82,crew
2176,"De los Apeninos a los Andes",1990,152940,"Edmondo","de Amicis",1908,82,crew
2176,"De los Apeninos a los Andes",1990,152940,"Edmondo","de Amicis",1908,82,crew
1767,"Santos Vega",1971,149176,"Eduardo","Gutiérrez",1889,82,crew
5202,"Emancipación",2006,131732,"Franz","Kafka",1924,82,crew
301,"Las campanas de Teresa",1957,154618,"Hans","Christian Andersen",1875,82,crew
2083,"La voz del tambor",1938,152463,"Robert","Schumann",1856,82,crew
492,"El crimen de Oribe",1950,152728,"Louis","Héctor Berlioz",1869,81,crew
4941,"Sardinas",2005,127730,"Erik","Satie",1925,80,crew
3745,"Días enteros bajo las piedras",2004,131732,"Franz","Kafka",1924,80,crew
969,"El hombre del subsuelo",1981,149465,"Giuseppe","Verdi",1901,80,crew
4006,"La oscilación del péndulo",2002,130906,"Katherine","Mansfield",1923,79,crew
2035,"Viento norte",2020,156451,"Elías","Alippi",1942,78,cast
3006,"¿Te dije que te quiero?",2002,150858,"Giácomo","Puccini",1924,78,crew
1242,"La novela de un joven pobre",1968,147892,"Octave","Feuillet",1890,78,crew
76,"Alicia en el país de las maravillas",1976,157864,"Lewis","Carroll",1898,78,crew
10546,"Todo lo que se olvida en un instante",2022,103180,"Franklin","Delano Roosevelt",1945,77,cast
1767,"Santos Vega",1971,156033,"Ricardo","Gutiérrez",1896,75,crew
4989,"La gallina degollada",2011,149596,"Horacio","Quiroga",1937,74,crew
344,"Carmen",1943,154222,"Prosper","Mérimée",1870,73,crew
2458,"La dialéctica tiene sus cositas",1972,154896,"Johann","Strauss",1899,73,crew
1361,"Mi noche triste",1997,147369,"Eduardo","Arolas",1924,73,crew
2750,"El fusilamiento de Dorrego",2002,137825,"Eliseo","Gutiérrez",1929,73,cast
6727,"Cuentos de la selva",2010,149596,"Horacio","Quiroga",1937,73,crew
2750,"El fusilamiento de Dorrego",2002,137824,"Roberto","Casaux",1929,73,cast
160934,"Muerte civil",1954,146706,"Paolo","Giacometti",1882,72,crew
160764,"La herencia",1964,153824,"Guy","de Maupassant",1893,71,crew
2083,"La voz del tambor",1938,143778,"Gioacchino","Antonio Rossini",1868,70,crew
2267,"Lisboa",2004,139857,"Fernando","Pessoa",1935,69,crew
2267,"Lisboa",2004,139857,"Fernando","Pessoa",1935,69,crew
344,"Carmen",1943,154220,"Georges","Bizet",1875,68,crew
384,"Chafalonías",1960,153824,"Guy","de Maupassant",1893,67,crew
1696,"Romance sin palabras",1948,145530,"Modest","Petrovich Mussorgsky",1881,67,crew
160549,"El jugador",1947,149470,"Fiodor","Dostoievsky",1881,66,crew
160349,"Amalia",1936,157482,"José","Mármol",1871,65,crew
1361,"Mi noche triste",1997,152898,"Pascual","Contursi",1932,65,crew
1361,"Mi noche triste",1997,152898,"Pascual","Contursi",1932,65,crew
5454,"A propósito de Buenos Aires",2007,148842,"Roberto","Arlt",1942,65,crew
1361,"Mi noche triste",1997,147372,"Samuel","Castriota",1932,65,crew
691,"El día que me quieras",1999,155243,"Alfredo","Le Pera",1935,64,crew
2887,"Los rubios",2003,104779,"Stanisław","Ignacy Witkiewicz",1939,64,crew
835,"La fuga",2013,154866,"María","Santos",1949,64,cast
7964,"Las enfermeras de Evita",2015,155004,"María","Eva Duarte",1952,63,cast
835,"La fuga",2013,156925,"Sebastián","Chiola",1950,63,cast
9698,"Las sombras",2020,107612,"Lord","Dunsany",1957,63,crew
1874,"Sin fin",2005,144713,"Glenn","Miller",1944,61,crew
3628,"El marfil",2004,132639,"W.","W. Jacobs",1943,61,crew
