tmdb_id,tmdb_title,tmdb_original_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,tmdb_overview,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,status,local_id,local_title,local_year,match_reason
1152276,El silencio del corazón,El silencio del corazón,2023,2023-07-14,2023-07-14,MX,,,0.1176,0,0,missing,,,,No encontrada en CineNacional
1151812,Retrato de un amanecer,Retrato de un amanecer,2023,2023-07-14,2023-07-14,AR,,"Sol es fotógrafa. En búsqueda de un proyecto de familia se muda junto a su pareja Lucas a un pueblo del interior de la provincia de Buenos Aires. Sin embargo, sus expectativas se desdibujan cuando cad",0.1586,7,1,exists_by_tmdb,189919,Retrato de un amanecer,2023,Match por tmdb_id
1454222,My Hard Belongs to Daddy,My Hard Belongs to Daddy,2023,2023-07-13,2023-07-13,US,,,0,0,0,missing,,,,No encontrada en CineNacional
1153403,zapeo,zapeo,2023,2023-07-13,2023-07-13,AR,,,0.1395,0,0,missing,,,,No encontrada en CineNacional
1151823,Lo que el cuerpo debe,Lo que el cuerpo debe,2023,2023-07-13,2023-07-13,AR,,"Susana es una mujer que vive sola y sin dinero desde la partida de su esposo, al menos eso es lo que dice a sus vecinos. Susana se aferra al recuerdo de los viajes que solía hacer con su marido a Euro",0.2265,0,0,exists_by_tmdb,189936,Lo que el cuerpo debe,2022,Match por tmdb_id
1151808,Vera,Vera,2023,2023-07-13,2023-07-13,AR,,"Vera Jarach, italiana, judía y Madre de Plaza de Mayo línea Fundadora. Su abuelo fue asesinado en Auschwitz. Su hija, Franca Jarach, fue asesinada por la dictadura cívico-militar argentina en Buenos A",0.1215,0,0,missing,,,,No encontrada en CineNacional
912043,La crecida,La crecida,2023,2023-07-13,2023-07-13,AR,,"Panambí está en el este de Misiones, Argentina, frente a Puerto Veracruz, Brasil. Estos dos pueblos de frontera están unidos por el mismo río. La construcción de una represa hidroeléctrica altera la v",0.5225,10,1,exists_by_tmdb,9771,La crecida,2023,Match por tmdb_id
1290619,Mariposa de Noche,Mariposa de Noche,2023,2023-07-11,2023-07-11,AR,,,0.1947,10,1,missing,,,,No encontrada en CineNacional
1258727,Esta Todo Arreglado,Esta Todo Arreglado,2023,2023-07-11,2023-07-11,AR,,,0.2008,0,0,missing,,,,No encontrada en CineNacional
1306880,Papá,Papá,2023,2023-07-10,2023-07-10,MX,,,0.061,0,0,missing,,,,No encontrada en CineNacional
