ID,Título,Año,Director(es),Slug
160920,"Metamorfosis",2005,"Daniel Ponce, Gustavo Carra, Roberto Spassari",metamorfosis
4311,"Metamorfosis",2020,"Mariano Cirigliano, Daniel Ponce, Gustavo Carra, Roberto Spassari",metamorfosis-i
160922,"Mi Buenos Aires querido",1936,"Julio Irigoyen",mi-buenos-aires-querido
1306,"Mi Buenos Aires querido",1961,"Francisco Mugica, Julio Irigoyen",mi-buenos-aires-querido-2
160924,"Mi noche triste",1952,"Lucas Demare, José Martínez Suárez",mi-noche-triste
1361,"Mi noche triste",1997,"Goyo Anchou, Lucas Demare, José Martínez Suárez",mi-noche-triste-2
3159,"Mientras tanto",2003,"Tate Sanguine, Diego Lerman, Luis Bernardez, Nicolás Giussani, Marcela Balza, Magdalena Cernadas",mientras-tanto-2
160926,"Mientras tanto",2006,"Diego Lerman, Luis Bernardez, Nicolás Giussani, Marcela Balza, Magdalena Cernadas",mientras-tanto
160930,"Momentos",1980,"María Luisa Bemberg, Antonio Barrio",momentos
1424,"Momentos",2012,"Pablo Polledri, María Luisa Bemberg, Antonio Barrio",momentos-2
160932,"Mono",2007,"Mauro Andrizzi, Mariano Goldgrob",mono
6482,"Mono",2021,"Roberto Porta, Mariano Goldgrob",mono-i
1475,"Muerte civil",1910,"Mario Gallo, Alberto D'Aversa, Rodolfo Blasco",muerte-civil-2
160934,"Muerte civil",1954,"Alberto D'Aversa, Rodolfo Blasco",muerte-civil
160936,"Mujeres",1966,"Paulina Fernández Jurado",mujeres
3494,"Mujeres",1979,"Narcisa Hirsch, Paulina Fernández Jurado, Rosario Zubeldía, Hernán Nogués, Mercedes Alfonsín",mujeres-3
160937,"Mujeres",1989,"Rosario Zubeldía, Hernán Nogués, Mercedes Alfonsín",mujeres-2
160939,"Muñecas",2006,"Sin director",munecas
6237,"Muñecas",2020,"Lucía Palacio",munecas-i
160941,"Naturaleza muerta",2002,"María Laura Díaz",naturaleza-muerta
4329,"Naturaleza muerta",2014,"Gabriel Grieco, Fabián Forte",naturaleza-muerta-2
1198,"Nobleza gaucha",1915,"Humberto Cairo, Enrique Ernesto Gunche, Eduardo Martínez de la Pera",nobleza-gaucha-2
160943,"Nobleza gaucha",1937,"Sebastián M. Naón",nobleza-gaucha
161757,"Noche americana",2022,"Alejandro Bazzano",noche-americana-2
9664,"Noche americana",Sin año,"Nele Wohlatz",noche-americana
160945,"Noche de bodas",1942,"Carlos Hugo Christensen, José Herrero",noche-de-bodas
1203,"Noche de bodas",2009,"Mariana Barassi, Carlos Hugo Christensen, José Herrero",noche-de-bodas-i
2145,"Noche de ronda",1988,"Héctor Molina, Antonio Barrio, Carlos María Jaureguialzo",noche-de-ronda-2
160947,"Noche de ronda",1997,"Marcos Carnevale, Antonio Barrio, Carlos María Jaureguialzo",noche-de-ronda
160949,"Nocturno",2001,"Diego Varela, Claudio Espósito, Alejandro Geffner",nocturno
2486,"Nocturno",Sin año,"Christian Fuma, Diego Varela, Cristian Pauls, Ana Droeven, Paula Schilkrut, Claudio Espósito, Alejandro Geffner",nocturno-2
160951,"Nocturnos",2008,"Ariel Medina, Maximiliano Ricciardi, Leandro Martín Vitullo, Bárbara Zago, César Bigus, Maximiliano Ricciardi",nocturnos
160952,"Nocturnos",2011,"Edgardo Cozarinsky",nocturnos-2
6569,"Nocturnos",2013,"Ivana L. Nebuloni, Julián Pérez Cobo, Edgardo Cozarinsky, Maximiliano Ricciardi, Leandro Martín Vitullo, Bárbara Zago, César Bigus, Maximiliano Ricciardi",nocturnos-3
160955,"Nosotros",1993,"Rodrigo Moreno",nosotros-2
160954,"Nosotros",2002,"Diego Martínez Vignatti",nosotros
3116,"Nosotros",2013,"Melisa Brito Aller, Diego Martínez Vignatti, Rodrigo Moreno",nosotros-3
6802,"Novios del campo",2009,"Nele Wohlatz, Gerardo Naumann",novios-del-campo-2
160957,"Novios del campo",2009,"Sin director",novios-del-campo
2320,"ns/nc",1995,"Miguel Angel Rocca, Fernando Musa, Raúl Campos, Mariano Biasin, Mariano Biasin",nsnc-2-2
160959,"NS/NC",Sin año,"Sin director",nsnc
7376,"Nubes",1969,"Jorge Honik",nubes-2
160961,"Nubes",2012,"Manuel Abramovich",nubes
3110,"Octavo piso",2000,"Robert M. Rovere, Enrique Bellande",octavo-piso-2
160963,"Octavo piso",2002,"Enrique Bellande",octavo-piso
160965,"Oeste",2002,"Eduardo Pinto",oeste
3439,"Oeste",2005,"Daniel Ponce, Santiago Valentino, Diego Cosentino",oeste-2
160967,"Ofrenda",2005,"Silvana Lopa",ofrenda
4664,"Ofrenda",2020,"Juan Mónaco Cagni, Silvana Lopa",ofrenda-i
160969,"Ojos",2003,"Jesús Braceras, Diego Lescano, Anabel Caso",ojos
3752,"Ojos",2012,"Pablo Gonzalo Pérez, Diego Lescano, Anabel Caso",ojos-2
160971,"Ojos que no ven",1999,"Beda Docampo Feijóo, Gustavo Wagner, María Cecilia de las Barreras, Octavio Facello, Carina Sama",ojos-que-no-ven
160972,"Ojos que no ven",2004,"Santiago Bonavera",ojos-que-no-ven-2
2291,"Ojos que no ven",2008,"Ana Cacopardo, Santiago Bonavera, Beda Docampo Feijóo, Gustavo Wagner, María Cecilia de las Barreras, Octavio Facello, Carina Sama",ojos-que-no-ven-3
5090,"Olaf",2004,"Mariano Bergara, Guillermo San Juan",olaf
161575,"Olaf",2020,"July Massaccesi, Cristina Agüero",olaf-2
160974,"Oscuro",2004,"Paulo Pécora",oscuro
5575,"Oscuro",2009,"Víctor Postiglione",oscuro-2
160976,"Otro destino",2005,"Ezequiel Solozabal, Sándalo Capelli",otro-destino
4839,"Otro destino",2007,"Amin Yoma, Sándalo Capelli",otro-destino-2
160978,"Paco",1995,"Benjamín Ávila, Maximiliano Dubois",paco
3966,"Paco",2009,"Diego Rafecas, Natalia Urruty, Maximiliano Dubois",paco-2
3732,"Pacto de silencio",2004,"Diego Velazquez Viard, Carlos Echeverría, Solange Bottegoni, María Inés Gómez",pacto-de-silencio-2
160980,"Pacto de silencio",2005,"Carlos Echeverría, Solange Bottegoni, María Inés Gómez",pacto-de-silencio
160982,"Paisaje",2001,"Lorena Fernández, Virginia Giacosa, Mónica Ross, Lucas Santa Ana, Alejandro Sirkin",paisaje
4534,"Paisaje",2008,"Ada Frontini, Matías Umpierrez, Jimena Blanco, Virginia Giacosa, Mónica Ross, Lucas Santa Ana, Alejandro Sirkin, Marcelo Pozzo",paisaje-3
160983,"Paisaje",2013,"Matías Umpierrez",paisaje-2
193420,"Paisaje",2023,"Matías Rojo, Diego Savignano",paisaje-4
160985,"Papá",2002,"Julián Batistuta, Nicolás Garbarz",papa
4571,"Papá",2011,"Sergio Quatraro, Julián Batistuta, Nicolás Garbarz",papa-2
7042,"Pasajes",2006,"Leandro Listorti",pasajes-2
160987,"Pasajes",2010,"Gabriela Golder",pasajes
160989,"Patagonia",1920,"José Bustamante y Ballivián",patagonia
4756,"Patagonia",1977,"Narcisa Hirsch, José Bustamante y Ballivián",patagonia-2
7383,"Patagonia (10')",1970,"Narcisa Hirsch",patagonia-10-2
160991,"Patagonia (10')",1970,"Sin director",patagonia-10
160993,"Paula",2015,"Eugenio Canevari",paula
8729,"Paula",2022,"Florencia Wehbe",paula-i
160995,"Peregrino",1992,"Vivian Imar",peregrino
6395,"Peregrino",2020,"Néstor Rodríguez Correa, Vivian Imar",peregrino-i
6851,"Pero a la vez sí",2008,"Mauro Duek",pero-a-la-vez-si-4
160999,"Pero a la vez sí",2008,"Sin director",pero-a-la-vez-si-3
160997,"Pero a la vez sí",2008,"Sin director",pero-a-la-vez-si
160998,"Pero a la vez sí",2008,"Sin director",pero-a-la-vez-si-2
3818,"Perro negro",1993,"Fernando Priego Ruiz",perro-negro-2
161001,"Perro negro",2005,"María Florencia Álvarez",perro-negro
9984,"Perros",2021,"Kris Niklison",perros-i
161003,"Perros",Sin año,"Gerardo Minutti Bonilla",perros
161005,"Piedra libre",1975,"Leopoldo Torre Nilsson",piedra-libre
1506,"Piedra Libre",Sin año,"Alejandra Vassallo, Pía Sicardi",piedra-libre-2
4089,"Pinamar",1969,"Oscar Barney Finn",pinamar
187346,"Pinamar",2016,"Federico Godfrid",pinamar-2
161009,"Planetario",2009,"Paulo Pécora",planetario
6655,"Planetario",2011,"Baltazar Tokman",planetario-2
161011,"Plumíferos",2010,"Daniel De Felippo, Melina Cherro, Max Aguirre",plumiferos
6438,"Plumíferos",2019,"Ale Paiva, Juan Rodríguez Lage, Melina Cherro, Max Aguirre",plumiferos-i
161013,"Póker de amantes para tres",1969,"Ramiro Cortés, Francisco Tarantini",poker-de-amantes-para-tres
1559,"Póker de amantes para tres",1971,"Carlos Lao, Francisco Tarantini",poker-de-amantes-para-tres-2
161015,"Por la vuelta",2002,"Cristian Pauls",por-la-vuelta
2849,"Por la vuelta",2005,"Bruno Gradaschi, Macarena Magnani",por-la-vuelta-2
161017,"Positivo",1999,"Martín Alomar",positivo
2662,"Positivo",2014,"Sebastián Mónaco",positivo-2
161019,"Primavera",2005,"Federico Bezenzette",primavera
4338,"Primavera",2016,"Santiago Giralt",primavera-2
161021,"Pringles",2011,"Mariano Nante",pringles
7613,"Pringles",2012,"Santiago Franco",pringles-i
5031,"Prótesis",2000,"María Meira, Hernán Goldfrid, Martín Núñez",protesis-2
161023,"Prótesis",2000,"Sin director",protesis
161026,"Pueblo chico",1919,"Edmo Cominetti",pueblo-chico-2
161025,"Pueblo chico",2003,"Fernán Rudnik, Paula Schilkrut",pueblo-chico
3057,"Pueblo chico",2005,"Martín Wain, Fernán Rudnik, Edmo Cominetti, Paula Schilkrut",pueblo-chico-3
161028,"Puertas adentro",2005,"Martín Carranza, Martín Bustos",puertas-adentro
161030,"Puertas adentro",2009,"María Boughen",puertas-adentro-3
161029,"Puertas adentro",2012,"Nicolás León Tannchen",puertas-adentro-2
5980,"Puertas adentro",2016,"Eugenio Caracoche, María Victoria Ferrer Isleño, Nicolás León Tannchen, Martín Carranza, Martín Bustos",puertas-adentro-i
161032,"Punto de fuga",2006,"Agustin Cano Correa",punto-de-fuga
5953,"Punto de fuga",2007,"Nahuel Ferreyra",punto-de-fuga-3
161033,"Punto de fuga",2007,"Sin director",punto-de-fuga-2
161035,"Punto final",1986,"Pablo Nisenson",punto-final
2475,"Punto final",2004,"H. Emmanuel Figueroa, Pablo Nisenson",punto-final-2
161037,"Punto muerto",1998,"Damián Szifrón",punto-muerto
2942,"Punto muerto",2018,"Daniel de la Vega",punto-muerto-i
161039,"Puntos de vista",2003,"Sandra Gugliotta",puntos-de-vista
6686,"Puntos de vista",2018,"Florencia Wehbe, Sandra Gugliotta",puntos-de-vista-i
161041,"Pura sangre",2006,"Leo Ricciardi, Maximiliano Amor, Matías Casagrande, María de la Paz Viñals, María de la Paz Viñals, Damián Canduci",pura-sangre
3712,"Pura sangre",2013,"Mauro Beccaría, Leo Ricciardi, Maximiliano Amor, Matías Casagrande, María de la Paz Viñals, María de la Paz Viñals, Damián Canduci",pura-sangre-2
2490,"Qu' est-ce q' cest",1994,"Flavio Nardini",qu-est-ce-q-cest-2
2502,"Qu' est-ce q' cest",1994,"Sin director",qu-est-ce-q-cest
3062,"Rara",2016,"Pepa San Martín, Javier González",rara-2
161045,"Rara",Sin año,"Javier González",rara
3314,"Rebelión",2003,"Federico Urioste",rebelion
183549,"Rebelión",2022,"José Luis Rugeles, Mauricio Montes, Danniela Castro Valencia, Nora Ospina, Asia Lo Savio, Valentina Tomasa Congote, Carlos ""Fagua"" Medina, Salim Jaller, Carlos Sandoval, John Bedoya, Daniel Felipe Jiménez Vásquez, Carlos Andrés Sandoval Cabrera, Yoy Rave, Andrés Tudela, Kissinger Miranda, Ramsés Ramos",rebelion-2
161049,"Reflejos",2012,"Ignacio Verguilla, Mariela Perla Pietragalla",reflejos
7638,"Reflejos",2014,"Federico Larrosa, Emiliano Sette, Mariela Perla Pietragalla",reflejos-2
161051,"Regreso",2003,"Ygnacio Cervio",regreso
4557,"Regreso",2020,"Marcos Montes de Oca",regreso-i
161053,"Remake",2001,"Adrián Ochoa",remake
4889,"Remake",2006,"Roger Gual, Adrián Ochoa",remake-2
161055,"Río Turbio",1954,"Alejandro Wehner",rio-turbio
1676,"Río Turbio",2020,"Tatiana Mazú, Manuel Embalse",rio-turbio-i
